Barrio,Localidad
ALAMOS,0
AMERICAS,7
APOGEO,4
ARBORIZADORA,4
BAVARIA,0
BOLIVIA,0
BOSA_61,1
BOSA_CENTRAL,11
BOSA_OCCIDENTAL,12
BOYACA_REAL,4
BRITALIA,0
CALANDAIMA,0
CAPELLANIA,2
CASA_BLANCA_SUBA,0
CASTILLA,27
CHAPINERO,3
CHICO_LAGO,6
CIUDAD_MONTES,0
CIUDAD_SALITRE_OCCIDENTAL,0
CIUDAD_SALITRE_ORIENTAL,1
CIUDAD_USME,21
COMUNEROS,1
COUNTRY_CLUB,0
DANUBIO,0
DOCE_DE_OCTUBRE,0
EL_PORVENIR,0
EL_PRADO,24
EL_REFUGIO,0
EL_RINCON,10
ENGATIVA,13
FONTIBON,5
FONTIBON_SAN_PABLO,9
GALERIAS,0
GARCES_NAVAS,0
GRANJAS_DE_TECHO,0
GRAN_BRITALIA,0
ISMAEL_PERDOMO,0
LAS_FERIAS,0
LAS_MARGARITAS,0
LA_ALHAMBRA,14
LA_ESMERALDA,0
LA_FLORESTA,4
LA_SABANA,0
LA_URIBE,0
LOS_ALCAZARES,1
LOS_CEDROS,0
MARRUECOS,0
MODELIA,4
NIZA,0
PARDO_RUBIO,0
PATIO_BONITO,1
QUINTA_PAREDES,0
QUIROGA,0
RESTREPO,0
SAGRADO_CORAZON,0
SANTA_BARBARA,0
SANTA_CECILIA,0
SAN_CRISTOBAL_NORTE,0
SAN_JOSE_DE_BAVARIA,0
SAN_RAFAEL,0
SOSIEGO,5
SUBA,32
TIBABUYES,21
TIMIZA,0
TINTAL_NORTE,5
TINTAL_SUR,22
TOBERIN,7
USAQUEN,14
VERBENAL,9
ZONA_FRANCA,0
